# DM      Sigma      Time (s)     Sample    Downfact
526.352614   18.841785   1.443594     35244   64
380.116260   33.949538   3.434783     83857   128
727.162888   26.614155   5.399429    131822   32
593.790107   16.961522   7.107420    173521   64
393.385475   29.127372   9.526190    232573   64
559.828394   34.018566   11.606835    283370   32
542.966896   43.273935   13.567099    331228   64
517.685404   20.369063   15.526011    379053   64
532.180957   16.336709   17.771848    433883   128
527.390494   15.416603   19.765903    482566   128
302.731154   92.604810   21.974385    536484   16
682.055794   4.162870   23.962706    585027   1
387.572425   29.668908   25.826181    630522   64
303.626166   42.149158   27.717304    676692   64
684.473640   61.775089   29.611213    722930   32
696.783447   12.674293   32.111247    783966   64
350.015755   37.753831   33.517199    818291   32
567.059248   67.948447   35.990077    878664   16
253.732904   12.104582   37.987000    927417   64
335.739858   25.547915   39.708713    969451   64
560.684488   43.843892   41.796157   1020414   64
742.814679   29.835560   43.614454   1064806   32
678.728473   27.593673   46.258504   1129358   64
620.697428   56.460711   48.505774   1184223   32
581.934212   24.301228   50.245960   1226708   64
252.310158   31.354002   52.702454   1286681   64
385.117924   57.907074   54.527140   1331229   16
409.118018   26.412679   56.110203   1369878   64
477.896877   67.304231   58.733281   1433918   16
726.470237   4.550637   60.777472   1483825   16
640.140873   30.206396   62.446223   1524566   64
254.522711   20.077896   64.503153   1574784   64
512.278553   31.997538   66.776474   1630285   64
669.239145   32.168770   68.544840   1673458   32
351.286319   86.019224   70.886769   1730634   16
516.858579   22.743073   73.120973   1785180   64
451.708990   16.898634   74.625761   1821918   128
307.972740   11.317510   76.871762   1876752   128
350.446627   15.818891   79.082660   1930729   64
288.326502   76.357917   81.423278   1987873   32
380.599237   16.847593   82.876088   2023342   64
395.193507   51.382624   85.275116   2081912   16
693.330543   18.984538   87.326802   2132002   128
700.576774   17.823001   89.150874   2176535   64
315.157166   20.256279   91.589960   2236083   64
407.903031   36.428710   93.334897   2278684   32
632.804531   29.290963   95.354470   2327990   32
543.010702   63.942240   97.733509   2386072   32
422.164942   17.848637   99.789906   2436277   128
563.444477   55.773619   101.023908   2466404   32
649.299253   98.630024   103.117537   2517518   32
666.006862   34.871852   105.864110   2584573   32
